word	new_sentences_needed	fields
Abhor	1	alternateExampleSentence
Abstain	1	quizSentence
Accommodating	1	quizSentence
Accost	1	quizSentence
Acquiesce	1	quizSentence
Adorn	1	quizSentence
Aesthetic	1	quizSentence
Affable	1	quizSentence
Agnostic	1	quizSentence
Allocate	1	quizSentence
Ambivalent	1	quizSentence
Amenable	2	quizSentence, alternateExampleSentence
Amiable	2	quizSentence, alternateExampleSentence
Anachronistic	1	exampleSentence
Anecdote	1	quizSentence
Antiquated	1	quizSentence
Anxiety	1	quizSentence
Appease	1	quizSentence
Ascertain	2	quizSentence, alternateExampleSentence
Assuage	1	quizSentence
Attain	1	quizSentence
Atypical	1	quizSentence
Aversion	1	quizSentence
Banal	1	quizSentence
Bane	1	quizSentence
Bequeath	1	quizSentence
Beseech	1	quizSentence
Brusque	1	quizSentence
Candor	2	quizSentence, exampleSentence
Carp	1	quizSentence
Chastise	1	quizSentence
Cherish	2	quizSentence, alternateExampleSentence
Cloying	1	exampleSentence
Cognizant	1	quizSentence
Complacency	1	quizSentence
Condolence	1	quizSentence
Conducive	1	exampleSentence
Confidant	1	quizSentence
Congenial	1	alternateExampleSentence
Consign	1	quizSentence
Consolation	1	alternateExampleSentence
Constrain	2	quizSentence, exampleSentence
Construe	2	quizSentence, exampleSentence
Curt	1	quizSentence
Curtail	2	quizSentence, alternateExampleSentence
Defer	2	quizSentence, alternateExampleSentence
Delineate	1	quizSentence
Deplore	2	quizSentence, exampleSentence
Dissuade	1	quizSentence
Dubious	1	quizSentence
Effrontery	1	alternateExampleSentence
Embellish	1	quizSentence
Exculpate	1	quizSentence
Excursion	1	alternateExampleSentence
Fathom	1	quizSentence
Feasible	1	alternateExampleSentence
Flabbergasted	1	quizSentence
Garrulous	1	exampleSentence
Genial	1	alternateExampleSentence
Gregarious	1	quizSentence
Hallowed	1	quizSentence
Haughty	2	quizSentence, exampleSentence
Hypothetical	1	alternateExampleSentence
Impede	1	exampleSentence
Impervious	1	quizSentence
Impinge	1	quizSentence
Implacable	1	quizSentence
Incessant	1	quizSentence
Inclination	1	quizSentence
Inextricable	1	quizSentence
Innovate	1	alternateExampleSentence
Insinuate	2	quizSentence, alternateExampleSentence
Intimation	1	quizSentence
Intractable	1	quizSentence
Irascible	1	quizSentence
Languid	1	quizSentence
Lenient	1	quizSentence
Lethargic	1	quizSentence
Luminous	1	quizSentence
Mercurial	1	alternateExampleSentence
Mitigate	1	quizSentence
Modicum	1	quizSentence
Mundane	1	quizSentence
Mutable	1	exampleSentence
Neophyte	1	quizSentence
Nominal	1	quizSentence
Obsequious	1	quizSentence
Obtuse	1	quizSentence
Officious	2	quizSentence, exampleSentence
Paradigm	1	alternateExampleSentence
Paramount	1	exampleSentence
Pellucid	1	quizSentence
Penchant	1	quizSentence
Perfunctory	1	quizSentence
Pertinacious	1	exampleSentence
Pervasive	1	exampleSentence
Pragmatic	1	quizSentence
Presumptuous	1	quizSentence
Procure	1	quizSentence
Propensity	1	quizSentence
Prudence	1	alternateExampleSentence
Quaint	2	quizSentence, exampleSentence
Quotidian	1	quizSentence
Rash	1	quizSentence
Raucous	1	quizSentence
Recalcitrant	1	quizSentence
Recapitulate	1	quizSentence
Relish	1	quizSentence
Remiss	2	quizSentence, alternateExampleSentence
Renovate	1	quizSentence
Reputable	1	quizSentence
Ruse	1	alternateExampleSentence
Satiate	1	quizSentence
Seminal	1	exampleSentence
Surmise	2	quizSentence, exampleSentence
Tacit	2	quizSentence, alternateExampleSentence
Taciturn	1	quizSentence
Tedious	1	exampleSentence
Tranquil	1	quizSentence
Trepidation	1	quizSentence
Truncate	1	quizSentence
Turgid	1	quizSentence
Ubiquitous	1	exampleSentence
Umbrage	1	quizSentence
Unctuous	1	exampleSentence
Upbraid	1	quizSentence
Vacillate	1	quizSentence
Vex	2	quizSentence, exampleSentence
Zephyr	1	alternateExampleSentence
