Confluence	m	"con-" (together) + "flu" (flow) = rivers (or ideas) flowing together into one.
Conformist	m	"con-" (together) + "form" = taking the exact same form or shape as the rest of society.
Confound	s	Dumbfounded - you are so thoroughly confused you are left dumbfounded.
Congeal	s	Jell-O - it cools down and thickens into a solid mass, just like Jell-O.
Congenial	m	"con-" (with) + "gen" (nature) = sharing the same nature; highly agreeable and friendly.
Congregation	m	"con-" (together) + "greg" (flock) = a flock of people gathering together.
Congruity	s	Geometry - just like congruent triangles, everything fits perfectly together in agreement.
Connive	s	Knives - secretly plotting behind someone's back with knives.
Consecrate	m	"con-" (together) + "sacr" (sacred) = to officially declare something holy.
Consensus	m	"con-" (together) + "sens" (feel) = everyone in the room feeling the same way; a general agreement.
Consign	s	Sign - you sign the paperwork to formally hand the goods over to someone else's care.
Consolation	s	Console - giving a sad gamer a new console to comfort them after a major loss.
Consonant	m	"con-" (together) + "son" (sound) = sounding together in perfect harmony.
Constituent	n
Constrain	n
Construe	s	Construct - you carefully construct the meaning of a complex sentence in your mind.
Consummate	m	"con-" (together) + "summa" (highest) = brought to the absolute highest, most complete level of skill.
Consumption	n
Contemporaneous	m	"con-" (together) + "tempor" (time) = two events happening at the exact same time.
Contentious	s	Contender - a boxer who loves to fight and argue.
Contravene	m	"contra-" (against) + "venire" (come) = to come against a direct rule or law.
Contrite	e	From Latin contritus (ground to pieces). Your heart is crushed and ground to pieces by the guilt of what you've done.
Contusion	s	Confusion - getting hit in the head so hard it leaves a massive bruise and causes confusion.
Conundrum	s	Nun drum - a nun playing a heavy metal drum kit is a confusing, puzzling situation to figure out.
Convene	m	"con-" (together) + "venire" (come) = to officially come together for a meeting.
Convention	n
Convivial	m	"con-" (with) + "viv" (life) = full of life, highly festive, and sociable.
Convoluted	m	"con-" (together) + "volvere" (roll) = rolled and twisted together so many times it becomes impossibly complicated.
Copious	s	Copy us - the printer made so many copies you now have an abundant supply.
Cordial	m	"cord" (heart) = acting in a warm, polite, and heartfelt way.
Coronation	m	"coron" (crown) = the official ceremony of giving someone the crown.
Corpulence	m	"corp" (body) = having a massive, excessively fat body.
Corroborate	m	"cor-" (together) + "robor" (strength) = to add strength to a witness's story by providing matching evidence.
Corrosive	n
Cosmopolitan	m	"cosm" (world) + "polit" (citizen) = a citizen of the world; highly sophisticated and well - traveled.
Counteract	n
Coup	s	Coop - the angry chickens violently overthrew the farmer to take control of the coop.
Covet	s	Cover it - you want your neighbor's new car so badly you throw a tarp over it to steal it.
Covert	s	Cover it - keeping the military operation completely covered up and secret.
Credulity	m	"cred" (believe) = an excessive readiness to believe things; extreme gullibility.
Crescendo	n
Criteria	n
Culmination	n
Culpable	m	"culp" (blame) = fully deserving of the blame.
Cultivate	n
Cumulative	n
Cunning	n
Cupidity	e	Named after Cupid, the Roman god of desire. While Cupid is associated with love, the word evolved to mean an extreme, greedy desire for wealth.
Cursory	s	Cursor - moving your computer cursor quickly over the text without actually stopping to read it.
Curt	s	Cut - a spoken response so short and rude it feels like you've been cut off.
Curtail	s	Cut tail - to cut the tail off a long meeting to shorten it.
